city,facility_name,facility_name_plus,facility_id,rating,total_ratings,avg_inspection_score,avg_violations_count
ALLENSPARK,MEADOW MOUNTAIN CAFE,ALLENSPARK - MEADOW MOUNTAIN CAFE,FA0000515,4.7,113,80.00,7.0
ALLENSPARK,ROCKY MOUNTAIN PATHWAY RANCH,ALLENSPARK - ROCKY MOUNTAIN PATHWAY RANCH,FA0000021,4.9,22,10.00,1.0
BOULDER,(CU)  FARRAND ALLEY,BOULDER - (CU)  FARRAND ALLEY,FA0001319,4.3,4,10.00,1.0
BOULDER,(CU) SEEC CAFE,BOULDER - (CU) SEEC CAFE,FA0001542,4.0,33,20.20,2.5
BOULDER,(CU) SEWALL DINING CENTER,BOULDER - (CU) SEWALL DINING CENTER,FA0001321,5.0,2,32.50,2.0
BOULDER,(CU) VILLAGE CENTER THE GRANGE (GRILLE),BOULDER - (CU) VILLAGE CENTER THE GRANGE (GRILLE),FA0005050,3.9,28,8.00,1.0
BOULDER,A AND J ALLIANCE,BOULDER - A AND J ALLIANCE,FA0001760,4.2,771,37.95,4.75
BOULDER,A CUP OF PEACE,BOULDER - A CUP OF PEACE,FA0002704,4.3,258,71.09,6.333333333333333
BOULDER,A TAKEAR (MOBILE),BOULDER - A TAKEAR (MOBILE),FA0005329,3.6,15,65.00,9.0
BOULDER,ABOS PIZZA NORTH,BOULDER - ABOS PIZZA NORTH,FA0000025,4.3,232,29.45,3.0
BOULDER,ABOS PIZZA SOUTH,BOULDER - ABOS PIZZA SOUTH,FA0000024,3.5,143,41.67,3.75
BOULDER,AFC SUSHI @ SAFEWAY #1615,BOULDER - AFC SUSHI @ SAFEWAY #1615,FA0004880,3.9,1259,15.00,1.0
BOULDER,AFC SUSHI @ SAFEWAY #2911,BOULDER - AFC SUSHI @ SAFEWAY #2911,FA0005088,3.9,685,20.00,2.0
BOULDER,AFC SUSHI @ SAFEWAY #2919,BOULDER - AFC SUSHI @ SAFEWAY #2919,FA0004908,4.2,603,5.00,1.0
BOULDER,ALI BABA GRILL,BOULDER - ALI BABA GRILL,FA0003269,4.2,771,23.43,3.5
BOULDER,ALOY THAI CUISINE,BOULDER - ALOY THAI CUISINE,FA0002357,4.2,1016,7.50,1.5
BOULDER,ALPINE MODERN,BOULDER - ALPINE MODERN,FA0000234,4.5,355,84.11,4.5
BOULDER,AMANTE BASELINE,BOULDER - AMANTE BASELINE,FA0003827,4.2,214,25.33,3.0
BOULDER,AMANTE UPTOWN,BOULDER - AMANTE UPTOWN,FA0002356,4.2,275,43.46,3.25
BOULDER,AMANTE WALNUT II,BOULDER - AMANTE WALNUT II,FA0005038,4.4,177,53.46,6.5
BOULDER,AMERICAN LEGION BOULDER POST 10,BOULDER - AMERICAN LEGION BOULDER POST 10,FA0000009,4.9,15,36.00,2.5
BOULDER,AMPERSAND COFFEE ROASTER,BOULDER - AMPERSAND COFFEE ROASTER,FA0005130,4.9,258,7.50,1.0
BOULDER,AOI,BOULDER - AOI,FA0003592,4.8,226,50.12,4.0
BOULDER,APERITIVO,BOULDER - APERITIVO,FA0005151,4.4,230,81.53,7.5
BOULDER,ARABESQUE,BOULDER - ARABESQUE,FA0000105,4.3,172,58.75,2.6666666666666665
BOULDER,ARCANA RESTAURANT,BOULDER - ARCANA RESTAURANT,FA0004883,4.6,431,47.86,3.5
BOULDER,AREPA JOINT THE (MOBILE),BOULDER - AREPA JOINT THE (MOBILE),FA0005083,3.6,42,25.00,2.0
BOULDER,ASH KARA,BOULDER - ASH KARA,FA0000449,4.3,101,82.00,8.0
BOULDER,ASTRO COFFEE BAR,BOULDER - ASTRO COFFEE BAR,FA0000124,4.6,58,29.54,4.333333333333333
BOULDER,ATTIC BAR AND BISTRO,BOULDER - ATTIC BAR AND BISTRO,FA0000674,4.2,414,65.33,5.0
BOULDER,AVANTI F&B COMMISSARY & BARS,BOULDER - AVANTI F&B COMMISSARY & BARS,FA0000159,4.4,467,13.60,2.0
