facility_name_plus,violations
ALLENSPARK - MEADOW MOUNTAIN CAFE - 441 BUSINESS ROUTE 7,"2015-06-26 - food temperature control - cold hold at 41 degrees or less_2015-06-26 - food temperature control - adequate equipment to maintain food temperatures_2015-06-26 - food source - consumer advisory_2015-06-26 - personnel - smoking eating drinking_2015-06-26 - personnel - no bare hand contact_2015-06-26 - personnel - hands washed as needed_2015-06-26 - equipment design/contstruction - food-contact surfaces construction_2015-06-26 - poisons/toxins - properly labeled_2015-06-26 - food labeling/protection - food protected from contamination_2015-06-26 - equipment design/contstruction - non-food contact surfaces construction_2019-08-29 - pest control - insects, rodents, & animals not present_2019-08-29 - personnel - procedures for responding to vomiting and diarrheal events_2019-08-29 - personnel - certified food protection manager_2019-08-29 - food source - consumer advisory provided for raw/undercooked food_"
ALLENSPARK - ROCKY MOUNTAIN PATHWAY RANCH - 15747 HWY 7,2014-06-18 - poisons/toxins - properly stored_
BOULDER - (CU)  FARRAND ALLEY - 2200 BARKER DR,2015-02-05 - water/sewage/plumbing - backflow back siphonage_
BOULDER - (CU) SEEC CAFE - 4001 DISCOVERY DR,2016-02-18 - food labeling/protection - food protected from contamination_2016-02-18 - poisons/toxins - properly labeled_2016-02-18 - water/sewage/plumbing - backflow back siphonage_2019-12-10 - food temperature control - proper cold holding temperatures_2019-12-10 - food temperature control - proper cooling methods used; adequate equipment for temperature control_
BOULDER - (CU) SEWALL DINING CENTER - 1720 UNIVERSITY AVE,2015-02-05 - food temperature control - cooling methods_2015-02-05 - personnel - training needed_2019-12-03 - food labeling/protection - food separated and protected_2019-12-03 - food temperature control - proper cold holding temperatures_
BOULDER - (CU) VILLAGE CENTER THE GRANGE (GRILLE) - 510 30TH ST,2017-04-11 - equipment design/contstruction - non-food contact surfaces construction_2018-04-12 - food temperature control - hot hold at 135 degrees farenheit or greater_
BOULDER - A AND J ALLIANCE - 1225 ALPINE AVE,"2013-08-21 - toilets/handwashing - soap and drying devices_2013-08-21 - poisons/toxins - properly labeled_2013-08-21 - food labeling/protection - original container properly labeled_2013-08-21 - physical facilities - floors walls ceilings_2013-08-21 - water/sewage/plumbing - backflow back siphonage_2013-08-21 - equipment design/contstruction - non-food contact surfaces construction_2013-08-21 - food temperature control - cold hold at 41 degrees or less_2013-08-21 - personnel - smoking eating drinking_2013-08-21 - equipment/utensil cleaning - chemical test kits provided accessible_2016-01-22 - poisons/toxins - properly labeled_2016-01-22 - equipment/utensil cleaning - mechanical_2017-04-19 - toilets/handwashing - soap and drying devices_2017-04-19 - personnel - smoking eating drinking_2017-04-19 - equipment/utensil cleaning - mechanical_2019-01-10 - equipment/utensil cleaning - warewashing facilities: installed, maintained, & used; test strips_2019-01-10 - poisons/toxins - toxic substances properly identified, stored & used_2019-01-10 - personnel - procedures for responding to vomiting and diarrheal events_2019-01-10 - personnel - certified food protection manager_2019-01-10 - toilets/handwashing - adequate handwashing sinks properly supplied and accessible_"
BOULDER - A CUP OF PEACE - 3216 ARAPAHOE AVE UNIT B,"2014-04-08 - personnel - training needed_2014-04-08 - food source - cross contamination_2014-04-08 - toilets/handwashing - accessible_2014-04-08 - water/sewage/plumbing - hot and cold water under pressure_2016-06-08 - personnel - hygienic practices_2016-06-08 - food temperature control - food thermometer_2016-06-08 - personnel - hands washed as needed_2016-06-08 - food temperature control - cold hold at 41 degrees or less_2016-06-08 - personnel - smoking eating drinking_2018-06-27 - personnel - smoking eating drinking_2018-06-27 - personnel - hands washed as needed_2018-06-27 - food temperature control - cold hold at 41 degrees or less_2018-06-27 - personnel - hygienic practices_2018-06-27 - poisons/toxins - properly labeled_2018-06-27 - food source - consumer advisory_2018-06-27 - food source - cross contamination_2018-06-27 - personnel - training needed_2018-06-27 - toilets/handwashing - soap and drying devices_2018-06-27 - food temperature control - food thermometer_2019-04-03 - personnel - procedures for responding to vomiting and diarrheal events_2019-04-03 - food source - contamination prevented during food preparation, storage & display_2019-04-03 - personnel - certified food protection manager_2019-04-03 - food source - consumer advisory provided for raw/undercooked food_2019-04-03 - pest control - contamination prevented during food preparation, storage & display_"
BOULDER - A TAKEAR (MOBILE) - 2887 30TH ST,"2019-07-17 - food temperature control - proper cooling methods used; adequate equipment for temperature control_2019-07-17 - food source - contamination prevented during food preparation, storage & display_2019-07-17 - food temperature control - proper cold holding temperatures_2019-07-17 - personnel - procedures for responding to vomiting and diarrheal events_2019-07-17 - equipment design/contstruction - food & non-food contact surfaces cleanable, properly designed, constructed, & used_2019-07-17 - utensils - single-use / single-service articles: properly stored & used_2019-07-17 - toilets/handwashing - adequate handwashing sinks properly supplied and accessible_2019-07-17 - food labeling/protection - food separated and protected_2019-07-17 - pest control - contamination prevented during food preparation, storage & display_2019-07-17 - food temperature control - proper hot holding temperatures_"
BOULDER - ABOS PIZZA NORTH - 2761 IRIS AVE,2013-06-27 - equipment/utensil cleaning - chemical test kits provided accessible_2013-06-27 - personnel - hygienic practices_2013-06-27 - food temperature control - cold hold at 41 degrees or less_2013-06-27 - poisons/toxins - properly stored_2016-01-29 - personnel - hands washed as needed_2016-01-29 - water/sewage/plumbing - backflow back siphonage_2017-07-17 - personnel - smoking eating drinking_2017-07-17 - food temperature control - cold hold at 41 degrees or less_2019-02-14 - personnel - procedures for responding to vomiting and diarrheal events_2019-02-14 - personnel - no bare hand contact with rte food or a pre-approved alternative procedure properly allowed_2019-02-14 - personnel - certified food protection manager_
