"facility_id","inspection_date","violation_category","lower"
"FA0000009","2015-04-09","toilets/handwashing","soap and drying devices"
"FA0000009","2017-05-09","food source","cross contamination"
"FA0000009","2017-05-09","water/sewage/plumbing","backflow back siphonage"
"FA0000009","2017-05-09","toilets/handwashing","soap and drying devices"
"FA0000009","2017-05-09","equipment/utensil cleaning","mechanical"
"FA0000010","2014-03-24","food source","consumer advisory"
"FA0000010","2014-03-24","food labeling/protection","food protected from contamination"
"FA0000010","2015-07-14","toilets/handwashing","soap and drying devices"
"FA0000010","2015-07-14","personnel","no bare hand contact"
"FA0000010","2015-07-14","water/sewage/plumbing","plumbing installed maintained"
"FA0000010","2015-07-14","physical facilities","premises maintained"
"FA0000010","2015-07-14","physical facilities","floors walls ceilings"
"FA0000010","2015-07-14","food labeling/protection","food protected from contamination"
"FA0000010","2015-07-14","equipment design/contstruction","non-food contact surfaces construction"
"FA0000010","2015-07-14","personnel","hygienic practices"
"FA0000010","2015-07-14","physical facilities","lighting"
"FA0000010","2017-05-16","water/sewage/plumbing","hot and cold water under pressure"
"FA0000010","2017-05-16","personnel","smoking eating drinking"
"FA0000010","2017-05-16","food temperature control","cold hold at 41 degrees or less"
"FA0000010","2017-05-16","personnel","personnel: clean clothes hair restraints authorizat"
"FA0000010","2017-05-16","food labeling/protection","food protected from contamination"
"FA0000011","2013-07-03","poisons/toxins","properly used"
"FA0000011","2013-07-03","personnel","hygienic practices"
"FA0000011","2013-07-03","food temperature control","cold hold at 41 degrees or less"
"FA0000011","2015-03-20","personnel","hygienic practices"
"FA0000011","2015-03-20","food temperature control","cold hold at 41 degrees or less"
"FA0000011","2015-03-20","water/sewage/plumbing","hot and cold water under pressure"
"FA0000011","2015-03-20","personnel","smoking eating drinking"
"FA0000015","2013-07-31","equipment design/contstruction","food-contact surfaces construction"
"FA0000015","2013-07-31","personnel","hands washed as needed"
"FA0000015","2013-07-31","food temperature control","cold hold at 41 degrees or less"
"FA0000015","2013-07-31","utensils","equipment utensils provided used, stored"
"FA0000015","2013-07-31","food labeling/protection","food protected from contamination"
"FA0000015","2015-04-24","food temperature control","cooling methods"
"FA0000015","2015-04-24","food source","wholesome free of spoilage"
"FA0000015","2015-04-24","food temperature control","cold hold at 41 degrees or less"
"FA0000015","2015-04-24","water/sewage/plumbing","plumbing installed maintained"
"FA0000015","2015-04-24","utensils","single service articles stored dispensed used"
"FA0000015","2015-04-24","equipment/utensil cleaning","non-food contact surfaces cleaning"
"FA0000015","2017-10-05","personnel","smoking eating drinking"
"FA0000015","2017-10-05","personnel","hands washed as needed"
"FA0000015","2017-10-05","personnel","hygienic practices"
"FA0000017","2014-04-15","equipment/utensil cleaning","mechanical"
"FA0000017","2014-04-15","water/sewage/plumbing","backflow back siphonage"
"FA0000017","2016-07-27","personnel","hands washed as needed"
"FA0000017","2016-07-27","toilets/handwashing","soap and drying devices"
"FA0000017","2016-07-27","water/sewage/plumbing","backflow back siphonage"
"FA0000017","2019-07-30","food source","consumer advisory provided for raw/undercooked food"
"FA0000018","2014-11-07","food temperature control","cold hold at 41 degrees or less"
"FA0000018","2014-11-07","food temperature control","adequate equipment to maintain food temperatures"
"FA0000018","2014-11-07","personnel","hands washed as needed"
"FA0000018","2014-11-07","water/sewage/plumbing","hot and cold water under pressure"
"FA0000018","2014-11-07","personnel","training needed"
"FA0000018","2014-11-07","food source","consumer advisory"
"FA0000018","2016-06-15","food source","cross contamination"
"FA0000018","2016-06-15","food temperature control","cold hold at 41 degrees or less"
"FA0000018","2019-08-21","food source","proper date marking and disposition"
"FA0000021","2014-06-18","poisons/toxins","properly stored"
"FA0000024","2015-02-23","food temperature control","cold hold at 41 degrees or less"
"FA0000024","2017-02-07","personnel","hygienic practices"
"FA0000024","2017-02-07","toilets/handwashing","accessible"
"FA0000024","2017-02-07","water/sewage/plumbing","hot and cold water under pressure"
"FA0000024","2017-02-07","equipment/utensil cleaning","food contact surfaces cleaning"
"FA0000024","2017-02-07","food labeling/protection","food protected from contamination"
"FA0000024","2019-07-22","toilets/handwashing","adequate handwashing sinks properly supplied and accessible"
"FA0000024","2019-07-22","personnel","no bare hand contact with rte food or a pre-approved alternative procedure properly allowed"
"FA0000024","2019-07-22","pest control","insects, rodents, & animals not present"
