facilityId,biz_status,rating,price_level,total_user_ratings
FA0003323,OPERATIONAL,4.2,1,210
FA0000616,OPERATIONAL,4.3,3,446
FA0003472,OPERATIONAL,4.3,1,170
FA0002790,OPERATIONAL,4,1,164
FA0001363,OPERATIONAL,4.4,2,293
FA0000679,OPERATIONAL,4,1,574
FA0003541,OPERATIONAL,4.2,2,369
FA0000024,OPERATIONAL,3.5,2,143
FA0001380,OPERATIONAL,4.4,1,307
FA0001344,OPERATIONAL,3.4,1,289
FA0001169,OPERATIONAL,3.8,1,155
FA0001247,OPERATIONAL,4.8,1,379
FA0000018,OPERATIONAL,4.7,2,150
FA0002382,OPERATIONAL,4.5,2,1346
FA0001306,OPERATIONAL,4.3,1,557
FA0000200,OPERATIONAL,4.6,2,2995
FA0000966,OPERATIONAL,4.3,1,768
FA0001149,OPERATIONAL,4.2,2,608
FA0001299,OPERATIONAL,4.4,1,333
FA0000057,OPERATIONAL,4.4,1,2079
FA0000502,OPERATIONAL,4.6,2,1450
FA0004579,OPERATIONAL,4.9,2,232
FA0000287,OPERATIONAL,4.5,3,864
FA0004526,OPERATIONAL,4,2,518
FA0001273,CLOSED_TEMPORARILY,4.4,1,448
FA0000346,OPERATIONAL,4.3,1,499
FA0000665,OPERATIONAL,4.9,1,183
FA0000731,OPERATIONAL,4.4,1,1032
FA0002869,OPERATIONAL,3.6,1,340
FA0000476,OPERATIONAL,4.6,2,1392
FA0003850,OPERATIONAL,4.3,2,243
FA0000666,OPERATIONAL,4.6,3,644
FA0003410,OPERATIONAL,4.5,2,851
FA0000654,OPERATIONAL,4.1,2,621
FA0004497,OPERATIONAL,4.1,2,469
FA0001251,OPERATIONAL,4.7,4,308
FA0003837,OPERATIONAL,4.3,1,1039
FA0000943,OPERATIONAL,4.2,2,667
FA0002315,OPERATIONAL,4.2,2,519
FA0000724,OPERATIONAL,4.3,2,277
FA0005003,OPERATIONAL,4.6,2,929
FA0002506,OPERATIONAL,4.7,2,951
FA0000798,OPERATIONAL,4.4,2,1328
FA0000467,OPERATIONAL,4.5,2,164
FA0004847,OPERATIONAL,3.7,1,67
FA0001138,OPERATIONAL,4.4,1,1110
FA0000630,OPERATIONAL,4.4,1,488
FA0002345,OPERATIONAL,4,1,507
FA0004885,OPERATIONAL,4.2,2,640
FA0001278,OPERATIONAL,4.5,2,283
FA0001595,OPERATIONAL,3.4,1,35
FA0002657,OPERATIONAL,4.4,2,679
FA0001493,OPERATIONAL,4.3,1,562
FA0003319,OPERATIONAL,3.7,1,172
FA0000110,OPERATIONAL,3.5,1,324
FA0002592,OPERATIONAL,4.6,1,476
FA0003376,OPERATIONAL,3.7,1,315
FA0003267,OPERATIONAL,4.1,2,534
FA0000808,CLOSED_TEMPORARILY,3.4,1,27
FA0004908,OPERATIONAL,4.2,2,603
FA0002311,OPERATIONAL,4.5,1,138
FA0002874,OPERATIONAL,4.2,1,834
FA0000112,OPERATIONAL,3,1,276
FA0003365,OPERATIONAL,4.5,1,339
FA0000124,OPERATIONAL,4.6,1,58
FA0001182,OPERATIONAL,4,2,379
FA0000714,OPERATIONAL,4.5,1,554
FA0002162,OPERATIONAL,4.1,1,174
FA0005347,OPERATIONAL,4.6,1,536
FA0002651,OPERATIONAL,4.4,1,1067
FA0004837,OPERATIONAL,4.2,2,1184
FA0001355,OPERATIONAL,4,1,93
FA0001514,OPERATIONAL,4,1,392
FA0003265,OPERATIONAL,4.3,1,242
FA0004769,OPERATIONAL,4.4,1,330
FA0004641,OPERATIONAL,3.5,1,614
