facilityId,biz_status,rating,price_level,total_user_ratings
FA0004494,OPERATIONAL,4.4,0.0,79.0
FA0003618,OPERATIONAL,3.9,0.0,71.0
FA0000878,OPERATIONAL,4.5,0.0,87.0
FA0004983,OPERATIONAL,3.8,0.0,5.0
FA0000100,OPERATIONAL,4.7,0.0,134.0
FA0005083,OPERATIONAL,3.6,0.0,42.0
FA0004603,OPERATIONAL,4.5,0.0,2.0
FA0000027,OPERATIONAL,4.4,0.0,67.0
FA0003002,CLOSED_PERMANENTLY,4.4,0.0,61.0
FA0004505,CLOSED_PERMANENTLY,4.4,0.0,170.0
FA0001319,OPERATIONAL,4.3,0.0,4.0
FA0002979,OPERATIONAL,3.7,0.0,68.0
FA0004967,OPERATIONAL,4.7,0.0,59.0
FA0001266,OPERATIONAL,4.2,0.0,76.0
FA0000442,OPERATIONAL,4.4,0.0,523.0
FA0005285,OPERATIONAL,3.9,0.0,34.0
FA0000521,OPERATIONAL,4.5,0.0,76.0
FA0004972,OPERATIONAL,4.4,0.0,113.0
FA0001261,OPERATIONAL,4.7,0.0,139.0
FA0005450,OPERATIONAL,5.0,0.0,6.0
FA0002718,OPERATIONAL,4.2,0.0,5.0
FA0003739,OPERATIONAL,4.6,0.0,161.0
FA0005025,OPERATIONAL,4.4,0.0,17.0
FA0003809,OPERATIONAL,4.7,0.0,9.0
FA0001283,OPERATIONAL,4.8,0.0,373.0
FA0000848,OPERATIONAL,4.7,0.0,93.0
FA0000942,OPERATIONAL,4.4,0.0,321.0
FA0005127,OPERATIONAL,4.9,0.0,63.0
FA0004651,OPERATIONAL,4.4,0.0,28.0
FA0005372,OPERATIONAL,5.0,0.0,5.0
FA0003891,OPERATIONAL,3.8,2.0,302.0
FA0005101,OPERATIONAL,4.9,2.0,317.0
FA0002863,OPERATIONAL,4.4,2.0,454.0
FA0000193,OPERATIONAL,3.6,2.0,616.0
FA0005345,OPERATIONAL,4.9,2.0,69.0
FA0000801,OPERATIONAL,4.7,2.0,89.0
FA0005329,OPERATIONAL,3.6,2.0,15.0
FA0000258,OPERATIONAL,4.6,2.0,85.0
FA0003614,OPERATIONAL,4.9,2.0,125.0
FA0002171,OPERATIONAL,4.0,2.0,131.0
FA0001351,OPERATIONAL,4.6,2.0,314.0
FA0000355,OPERATIONAL,4.2,2.0,209.0
FA0005050,OPERATIONAL,3.9,2.0,28.0
FA0004740,OPERATIONAL,4.8,2.0,217.0
FA0004539,OPERATIONAL,4.4,2.0,116.0
FA0000036,OPERATIONAL,4.1,2.0,213.0
FA0002021,OPERATIONAL,4.6,2.0,1321.0
FA0000390,OPERATIONAL,4.5,2.0,437.0
FA0000649,OPERATIONAL,4.4,2.0,106.0
FA0004654,OPERATIONAL,5.0,2.0,11.0
FA0003592,OPERATIONAL,4.8,2.0,226.0
FA0000844,OPERATIONAL,4.2,2.0,77.0
FA0003825,OPERATIONAL,3.8,2.0,17.0
FA0005391,OPERATIONAL,4.3,2.0,183.0
FA0002128,OPERATIONAL,4.5,2.0,87.0
FA0004511,OPERATIONAL,4.7,2.0,181.0
FA0000879,OPERATIONAL,4.0,2.0,720.0
FA0000945,OPERATIONAL,4.3,2.0,250.0
FA0001037,OPERATIONAL,3.7,2.0,371.0
FA0002676,OPERATIONAL,4.2,2.0,414.0
FA0005319,OPERATIONAL,4.0,2.0,3.0
FA0004789,OPERATIONAL,4.7,2.0,422.0
FA0005085,OPERATIONAL,4.4,2.0,421.0
FA0000688,OPERATIONAL,4.3,2.0,76.0
FA0001204,OPERATIONAL,3.9,2.0,117.0
FA0000247,CLOSED_PERMANENTLY,4.5,2.0,21.0
FA0000127,OPERATIONAL,4.0,2.0,48.0
FA0004706,OPERATIONAL,4.6,2.0,211.0
FA0001000,OPERATIONAL,3.5,2.0,12.0
FA0005084,OPERATIONAL,4.6,2.0,65.0
FA0000075,OPERATIONAL,4.5,2.0,171.0
FA0000974,OPERATIONAL,4.8,2.0,53.0
FA0002210,OPERATIONAL,3.8,2.0,5.0
FA0001373,OPERATIONAL,3.0,2.0,84.0
FA0003792,OPERATIONAL,4.8,2.0,180.0
FA0004521,OPERATIONAL,4.7,2.0,367.0
FA0001321,OPERATIONAL,5.0,2.0,2.0
FA0004853,OPERATIONAL,4.5,2.0,315.0
FA0004518,OPERATIONAL,4.5,2.0,437.0
FA0000682,OPERATIONAL,4.0,2.0,378.0
FA0004683,OPERATIONAL,4.3,2.0,887.0
FA0000329,OPERATIONAL,4.8,2.0,183.0
FA0001524,OPERATIONAL,4.3,2.0,271.0
FA0004836,OPERATIONAL,3.7,2.0,197.0
FA0005034,OPERATIONAL,4.5,2.0,308.0
FA0001381,OPERATIONAL,4.2,2.0,23.0
FA0002703,OPERATIONAL,4.2,2.0,333.0
FA0000962,OPERATIONAL,4.6,2.0,159.0
FA0000655,OPERATIONAL,4.1,2.0,69.0
FA0002989,OPERATIONAL,4.8,2.0,130.0
FA0004750,CLOSED_PERMANENTLY,5.0,2.0,1.0
FA0002792,OPERATIONAL,4.0,2.0,844.0
FA0001362,OPERATIONAL,4.2,2.0,184.0
FA0004956,OPERATIONAL,4.3,2.0,107.0
FA0003243,OPERATIONAL,4.5,2.0,89.0
FA0003464,OPERATIONAL,4.6,2.0,56.0
FA0004866,OPERATIONAL,4.5,2.0,28.0
FA0001260,OPERATIONAL,5.0,2.0,2.0
FA0003791,OPERATIONAL,4.6,2.0,1032.0
FA0000047,OPERATIONAL,4.0,2.0,298.0
FA0004696,OPERATIONAL,4.5,2.0,2.0
FA0005435,OPERATIONAL,4.5,2.0,31.0
FA0003336,OPERATIONAL,4.5,2.0,287.0
FA0004910,OPERATIONAL,4.0,2.0,376.0
FA0000685,OPERATIONAL,4.8,2.0,36.0
FA0004763,OPERATIONAL,5.0,2.0,13.0
FA0005267,OPERATIONAL,4.0,2.0,298.0
FA0002143,OPERATIONAL,4.2,2.0,432.0
FA0002855,OPERATIONAL,4.3,2.0,259.0
FA0000021,OPERATIONAL,4.9,2.0,22.0
FA0002356,OPERATIONAL,4.2,2.0,275.0
FA0000770,OPERATIONAL,4.5,2.0,532.0
FA0003255,OPERATIONAL,4.3,2.0,154.0
FA0002527,OPERATIONAL,4.5,2.0,125.0
FA0000350,OPERATIONAL,4.4,2.0,226.0
FA0004861,OPERATIONAL,5.0,2.0,2.0
FA0001406,OPERATIONAL,4.4,2.0,82.0
FA0003551,OPERATIONAL,4.3,2.0,213.0
FA0000413,OPERATIONAL,4.2,2.0,899.0
FA0003815,OPERATIONAL,3.6,2.0,15.0
FA0003833,OPERATIONAL,4.6,2.0,113.0
FA0000238,OPERATIONAL,4.0,2.0,103.0
FA0003583,OPERATIONAL,4.6,2.0,118.0
FA0000888,OPERATIONAL,4.3,2.0,71.0
FA0003720,OPERATIONAL,4.8,2.0,2549.0
FA0001408,OPERATIONAL,4.7,2.0,12.0
FA0001322,OPERATIONAL,4.3,2.0,128.0
FA0001237,OPERATIONAL,4.5,2.0,523.0
FA0000481,OPERATIONAL,4.3,2.0,118.0
FA0003034,OPERATIONAL,4.8,2.0,22.0
FA0001512,OPERATIONAL,4.3,2.0,218.0
FA0000191,OPERATIONAL,4.0,2.0,1331.0
FA0003807,OPERATIONAL,4.8,2.0,189.0
FA0000414,OPERATIONAL,4.7,2.0,87.0
FA0003565,OPERATIONAL,4.1,1.0,495.0
FA0001368,OPERATIONAL,2.9,1.0,32.0
FA0002526,OPERATIONAL,4.3,1.0,384.0
FA0000903,OPERATIONAL,4.5,1.0,375.0
FA0002207,OPERATIONAL,4.1,1.0,459.0
FA0001030,OPERATIONAL,4.5,1.0,62.0
FA0003781,OPERATIONAL,4.6,1.0,199.0
FA0000137,OPERATIONAL,4.4,1.0,108.0
FA0000555,OPERATIONAL,4.3,1.0,72.0
FA0003391,OPERATIONAL,4.4,1.0,490.0
FA0004507,OPERATIONAL,4.6,1.0,126.0
FA0001046,OPERATIONAL,4.7,1.0,187.0
FA0001270,OPERATIONAL,4.6,1.0,179.0
FA0000244,OPERATIONAL,1.8,1.0,68.0
FA0003276,OPERATIONAL,4.3,1.0,299.0
FA0002137,OPERATIONAL,3.6,1.0,152.0
FA0001179,OPERATIONAL,4.6,1.0,322.0
FA0000615,OPERATIONAL,4.5,1.0,105.0
FA0003783,OPERATIONAL,4.7,1.0,48.0
FA0001429,OPERATIONAL,4.3,1.0,157.0
FA0001492,CLOSED_TEMPORARILY,4.8,1.0,4.0
FA0000378,OPERATIONAL,4.7,1.0,581.0
FA0003584,OPERATIONAL,3.7,1.0,41.0
FA0000252,OPERATIONAL,4.9,1.0,15.0
FA0005145,OPERATIONAL,4.4,1.0,23.0
FA0000970,OPERATIONAL,4.4,1.0,299.0
FA0004954,OPERATIONAL,4.6,1.0,2226.0
FA0002338,OPERATIONAL,4.5,1.0,380.0
FA0000304,OPERATIONAL,4.3,1.0,503.0
FA0003742,OPERATIONAL,4.2,2.0,197.0
FA0000447,OPERATIONAL,3.6,2.0,11.0
FA0005030,OPERATIONAL,4.3,2.0,90.0
FA0000968,OPERATIONAL,4.2,2.0,10.0
FA0005346,OPERATIONAL,5.0,2.0,6.0
FA0003502,OPERATIONAL,4.8,2.0,46.0
FA0003521,OPERATIONAL,2.7,2.0,143.0
FA0000432,OPERATIONAL,4.3,2.0,296.0
FA0000773,OPERATIONAL,3.9,2.0,233.0
FA0000990,OPERATIONAL,4.5,2.0,89.0
FA0002900,OPERATIONAL,4.6,2.0,291.0
FA0003799,OPERATIONAL,4.3,2.0,39.0
FA0001067,OPERATIONAL,4.3,2.0,14.0
FA0000743,OPERATIONAL,4.6,2.0,178.0
FA0000295,OPERATIONAL,3.4,2.0,70.0
FA0000256,OPERATIONAL,4.2,2.0,27.0
FA0000785,OPERATIONAL,4.4,2.0,216.0
FA0000975,OPERATIONAL,3.8,2.0,25.0
FA0004627,OPERATIONAL,4.5,2.0,16.0
FA0000782,OPERATIONAL,4.3,2.0,183.0
FA0000327,OPERATIONAL,4.9,2.0,24.0
FA0002441,OPERATIONAL,4.6,2.0,98.0
FA0005182,OPERATIONAL,4.6,2.0,402.0
FA0000242,OPERATIONAL,4.0,2.0,2.0
FA0001210,OPERATIONAL,4.3,2.0,7.0
FA0001338,OPERATIONAL,4.7,2.0,177.0
FA0000009,OPERATIONAL,4.9,2.0,15.0
FA0002591,OPERATIONAL,4.5,2.0,57.0
FA0004595,OPERATIONAL,4.9,2.0,183.0
FA0003258,OPERATIONAL,4.6,2.0,142.0
FA0000330,OPERATIONAL,4.7,2.0,302.0
FA0001800,OPERATIONAL,5.0,2.0,3.0
FA0000972,OPERATIONAL,4.7,2.0,254.0
FA0000567,OPERATIONAL,5.0,2.0,3.0
FA0000959,OPERATIONAL,4.5,2.0,315.0
FA0004834,OPERATIONAL,4.6,2.0,2226.0
FA0002076,OPERATIONAL,4.6,2.0,235.0
FA0004982,OPERATIONAL,4.2,2.0,324.0
FA0001642,OPERATIONAL,3.3,2.0,27.0
FA0003711,OPERATIONAL,4.6,2.0,46.0
FA0000430,OPERATIONAL,4.0,2.0,381.0
FA0005256,OPERATIONAL,4.6,2.0,402.0
FA0000118,OPERATIONAL,4.9,2.0,8.0
FA0002561,OPERATIONAL,4.4,2.0,35.0
FA0000150,OPERATIONAL,4.6,2.0,15.0
FA0004951,OPERATIONAL,5.0,2.0,77.0
FA0004784,OPERATIONAL,4.5,2.0,76.0
FA0000496,OPERATIONAL,4.3,2.0,241.0
FA0001630,OPERATIONAL,4.6,2.0,43.0
FA0000661,OPERATIONAL,5.0,2.0,26.0
FA0003913,OPERATIONAL,4.1,2.0,29.0
FA0003680,OPERATIONAL,4.4,2.0,171.0
FA0000834,OPERATIONAL,4.5,2.0,121.0
FA0002385,OPERATIONAL,4.3,2.0,55.0
FA0005308,OPERATIONAL,4.3,2.0,12.0
FA0004632,OPERATIONAL,4.3,2.0,81.0
FA0004515,OPERATIONAL,4.2,2.0,54.0
FA0002157,OPERATIONAL,4.8,2.0,72.0
FA0005425,OPERATIONAL,5.0,2.0,3.0
FA0001215,OPERATIONAL,4.9,2.0,8.0
FA0000092,OPERATIONAL,4.7,2.0,50.0
FA0005141,OPERATIONAL,4.9,2.0,17.0
FA0005264,OPERATIONAL,5.0,2.0,8.0
FA0000108,OPERATIONAL,4.6,2.0,266.0
FA0002867,OPERATIONAL,4.7,2.0,62.0
FA0003562,OPERATIONAL,4.0,2.0,30.0
FA0000236,OPERATIONAL,4.8,2.0,216.0
FA0004969,CLOSED_TEMPORARILY,3.5,2.0,28.0
FA0003470,OPERATIONAL,4.6,2.0,86.0
FA0005246,CLOSED_PERMANENTLY,4.4,2.0,9.0
FA0005508,OPERATIONAL,3.0,2.0,6.0
FA0000667,OPERATIONAL,4.6,2.0,68.0
FA0004626,CLOSED_TEMPORARILY,4.5,2.0,92.0
FA0001017,OPERATIONAL,4.7,2.0,37.0
FA0005236,OPERATIONAL,3.8,2.0,427.0
FA0002478,OPERATIONAL,4.3,2.0,366.0
FA0003605,OPERATIONAL,4.2,2.0,28.0
FA0005066,OPERATIONAL,4.5,2.0,340.0
FA0004744,OPERATIONAL,4.9,2.0,42.0
FA0000491,OPERATIONAL,4.5,2.0,633.0
FA0000159,OPERATIONAL,4.4,2.0,467.0
FA0004858,OPERATIONAL,4.4,2.0,667.0
FA0002645,OPERATIONAL,4.4,2.0,74.0
FA0004663,OPERATIONAL,4.0,2.0,46.0
FA0001072,OPERATIONAL,2.7,2.0,10.0
FA0005510,OPERATIONAL,4.9,2.0,63.0
FA0000038,OPERATIONAL,4.9,2.0,69.0
FA0002274,OPERATIONAL,4.2,2.0,160.0
FA0003637,OPERATIONAL,4.7,2.0,26.0
FA0005097,OPERATIONAL,4.5,2.0,68.0
FA0000926,OPERATIONAL,4.0,2.0,35.0
FA0000800,OPERATIONAL,4.5,2.0,119.0
FA0004792,OPERATIONAL,4.7,2.0,7.0
FA0001350,OPERATIONAL,4.9,2.0,60.0
FA0003471,OPERATIONAL,4.9,2.0,55.0
FA0005405,OPERATIONAL,4.5,2.0,43.0
FA0001175,OPERATIONAL,4.7,2.0,270.0
FA0004936,OPERATIONAL,4.4,2.0,205.0
FA0005554,OPERATIONAL,4.5,2.0,488.0
FA0005166,OPERATIONAL,4.6,2.0,1008.0
FA0005218,OPERATIONAL,4.5,2.0,320.0
FA0005422,OPERATIONAL,5.0,2.0,5.0
FA0000251,OPERATIONAL,4.6,2.0,914.0
FA0001243,OPERATIONAL,4.5,2.0,488.0
FA0003315,OPERATIONAL,4.3,2.0,47.0
FA0005208,CLOSED_PERMANENTLY,5.0,2.0,16.0
FA0005211,OPERATIONAL,4.4,2.0,488.0
FA0003331,OPERATIONAL,4.9,2.0,140.0
FA0000237,OPERATIONAL,4.4,2.0,552.0
FA0005506,OPERATIONAL,4.7,2.0,422.0
FA0004873,OPERATIONAL,3.7,2.0,18.0
FA0005296,OPERATIONAL,4.6,2.0,124.0
FA0005067,OPERATIONAL,4.2,2.0,477.0
FA0005455,OPERATIONAL,4.8,2.0,5.0
FA0005223,OPERATIONAL,4.9,2.0,36.0
FA0005130,OPERATIONAL,4.9,2.0,258.0
FA0004851,OPERATIONAL,4.8,2.0,144.0
FA0005330,OPERATIONAL,4.8,2.0,201.0
