,facilityId,ave_insp_score,typeOfFacility,categoryOfFacility,healthScore
0,FA0000009,23,RESTAURANT 0 TO 100 SEATS,BARS FRATERNAL ORGANIZATIONS,4
1,FA0000010,15,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,5
2,FA0000011,19,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
3,FA0000015,41,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,3
4,FA0000017,20,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,5
5,FA0000018,42,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,3
6,FA0000021,2,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,5
7,FA0000024,36,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,4
8,FA0000025,29,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,4
9,FA0000026,15,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
10,FA0000030,13,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
11,FA0000031,6,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
12,FA0000033,34,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,4
13,FA0000038,46,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,3
14,FA0000056,10,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,5
15,FA0000057,28,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,4
16,FA0000061,13,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
17,FA0000063,33,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,4
18,FA0000064,26,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,4
19,FA0000067,51,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,3
20,FA0000075,23,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,4
21,FA0000079,52,RESTAURANT MORE THAN 200 SEATS,FULL SERVICE FULL MENU,3
22,FA0000084,23,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,4
23,FA0000086,23,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,4
24,FA0000088,40,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,4
25,FA0000089,29,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,4
26,FA0000092,33,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,4
27,FA0000093,39,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,4
28,FA0000095,25,RESTAURANT MORE THAN 200 SEATS,FULL SERVICE FULL MENU,4
29,FA0000098,43,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,3
30,FA0000100,35,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,4
31,FA0000105,38,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,4
32,FA0000106,19,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
33,FA0000108,17,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,5
34,FA0000109,20,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
35,FA0000110,12,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
36,FA0000112,2,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
37,FA0000113,16,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
38,FA0000115,3,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
39,FA0000123,25,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,4
40,FA0000124,24,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,4
41,FA0000127,9,RESTAURANT 0 TO 100 SEATS,BARS FRATERNAL ORGANIZATIONS,5
42,FA0000130,25,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,4
43,FA0000132,33,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,4
44,FA0000133,22,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,4
45,FA0000135,23,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,4
46,FA0000137,0,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
47,FA0000139,20,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,5
48,FA0000140,74,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,2
49,FA0000147,20,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
50,FA0000150,18,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
51,FA0000152,37,RESTAURANT 101 TO 200 SEATS,FULL MENU LIMITED SERVICE,4
52,FA0000157,37,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,4
53,FA0000159,15,RESTAURANT 0 TO 100 SEATS,RETAIL COMMISSARY,5
54,FA0000162,31,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,4
55,FA0000164,43,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,3
56,FA0000165,26,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,4
57,FA0000181,48,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,3
58,FA0000182,91,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,2
59,FA0000185,15,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
60,FA0000191,4,RESTAURANT MORE THAN 200 SEATS,FAST FOOD LIMITED MENU,5
61,FA0000192,62,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,3
62,FA0000193,15,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,5
63,FA0000200,49,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,3
64,FA0000210,44,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,3
65,FA0000225,15,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,5
66,FA0000230,17,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
67,FA0000233,33,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,4
68,FA0000234,46,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,3
69,FA0000237,81,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,2
70,FA0000238,42,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,3
71,FA0000240,12,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,5
72,FA0000242,36,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,4
73,FA0000245,26,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,4
74,FA0000247,38,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,4
75,FA0000251,65,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,3
76,FA0000252,58,LIMITED FOOD SERVICE CONVENIENCE OTHER,BARS FRATERNAL ORGANIZATIONS,3
77,FA0000256,49,RESTAURANT 101 TO 200 SEATS,BARS FRATERNAL ORGANIZATIONS,3
78,FA0000257,31,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,4
79,FA0000258,28,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,4
80,FA0000278,22,RESTAURANT 101 TO 200 SEATS,FAST FOOD LIMITED MENU,4
81,FA0000279,9,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,5
82,FA0000281,38,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,4
83,FA0000288,32,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,4
84,FA0000291,24,RESTAURANT 101 TO 200 SEATS,FULL SERVICE FULL MENU,4
85,FA0000293,59,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,3
86,FA0000295,13,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,5
87,FA0000303,14,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,5
88,FA0000304,22,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,4
89,FA0000314,51,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,3
90,FA0000326,27,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,4
