,healthScore,cat_1,cat_2,cat_3,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_12,cat_13,cat_14,googleRating,typeOfFacility_GROCERY STORE 0 TO 15000 SQ FT,typeOfFacility_GROCERY STORE W DELI 0 TO 15000 SQ FT,typeOfFacility_GROCERY STORE W DELI MORE THAN 15000 SQ FT,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_MOBILE UNIT FULL FOOD SERVICE,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT 0 TO 100 SEATS,typeOfFacility_RESTAURANT 101 TO 200 SEATS,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_BARS FRATERNAL ORGANIZATIONS,categoryOfFacility_FAST FOOD LIMITED MENU,categoryOfFacility_FULL MENU LIMITED SERVICE,categoryOfFacility_FULL SERVICE FULL MENU,categoryOfFacility_MOBILE UNITS,categoryOfFacility_RETAIL COMMISSARY
0,4,1,0,0,1,2,0,0,0,0,1,0,0,High,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,5,1,2,1,2,1,0,0,3,1,0,0,1,High,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2,5,0,2,2,1,0,0,1,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,3,1,2,2,1,0,0,0,1,1,1,2,0,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,5,1,1,0,2,1,0,0,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,3,3,1,2,1,0,0,0,0,0,0,0,0,High,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6,5,0,0,0,0,0,0,1,0,0,0,0,0,High,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
7,4,1,3,1,1,2,1,0,2,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8,4,0,4,2,1,0,0,1,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
9,5,0,1,1,1,1,0,2,1,0,1,1,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10,5,0,1,0,1,1,0,1,0,1,0,0,1,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
11,5,0,1,0,1,1,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
12,4,1,0,2,2,0,0,0,0,0,1,1,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
13,3,0,3,2,1,1,0,1,2,1,1,1,2,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
14,5,1,0,0,0,1,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
15,4,1,1,3,1,1,0,1,1,0,1,1,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
16,5,0,1,0,3,1,0,0,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
17,4,1,1,0,0,0,0,1,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
18,4,1,3,2,0,0,0,3,1,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
19,3,1,3,3,0,0,0,0,1,1,2,1,0,High,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
20,4,0,0,2,0,1,0,0,0,0,0,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21,3,2,2,2,1,0,0,0,1,0,2,0,0,Low,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
22,4,1,0,1,1,0,0,0,1,0,0,0,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
23,4,3,1,0,2,3,0,1,1,0,0,0,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
24,4,1,0,1,1,2,1,1,1,1,1,0,1,Low,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
25,4,2,2,1,1,1,1,1,2,0,2,2,3,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
26,4,2,1,2,1,0,0,1,0,0,0,0,0,High,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
27,4,1,1,1,1,1,0,0,2,0,1,1,1,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28,4,1,1,1,0,1,0,0,0,0,0,0,0,High,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
29,3,1,2,2,0,1,1,0,1,0,1,0,1,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
30,4,1,3,2,1,1,0,3,0,1,0,0,1,High,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
31,4,0,1,2,0,0,1,1,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
32,5,1,1,0,1,0,0,1,1,1,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
33,5,0,3,0,1,0,1,0,1,1,0,0,0,High,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
34,5,0,1,1,2,2,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
