,cat_5,cat_8,cat_14,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_FAST FOOD LIMITED MENU,healthScore,googleRating
0,1,0,0,0,0,0,0,4,High
1,1,0,1,0,0,0,0,5,High
2,1,1,0,0,0,0,1,5,Low
3,1,0,0,0,0,0,0,3,High
4,1,0,0,0,0,0,0,5,Low
5,1,0,0,0,0,0,1,3,High
6,0,1,0,0,0,0,0,5,High
7,1,0,0,0,0,0,1,4,Low
8,1,1,0,0,0,0,1,4,Low
9,1,1,0,0,0,0,1,5,Low
10,1,1,1,0,0,0,1,5,Low
11,1,0,0,0,0,0,1,5,Low
12,1,0,0,0,0,0,0,4,Low
13,1,1,1,0,0,0,0,3,High
14,0,0,0,0,0,0,0,5,Low
15,1,1,0,0,0,0,0,4,Low
16,1,0,0,0,0,0,1,5,Low
17,0,1,0,0,0,0,0,4,Low
18,0,1,0,0,0,0,1,4,Low
19,0,0,0,0,0,0,0,3,High
20,0,0,1,0,0,0,0,4,Low
21,1,0,0,0,0,1,0,3,Low
22,1,0,0,0,0,0,0,4,Low
23,1,1,0,0,0,0,0,4,Low
24,1,1,1,1,0,0,1,4,Low
25,1,1,1,0,0,0,1,4,Low
26,1,1,0,0,0,0,0,4,High
27,1,0,1,0,0,0,0,4,Low
28,0,0,0,0,0,1,0,4,High
29,0,0,1,0,0,0,1,3,Low
30,1,1,1,0,0,0,0,4,High
31,0,1,0,0,0,0,0,4,Low
32,1,1,0,0,0,0,1,5,Low
33,1,0,0,0,0,0,0,5,High
34,1,0,0,0,0,0,1,5,Low
35,1,0,1,0,0,0,1,5,Low
36,0,0,0,0,0,0,1,5,Low
37,1,1,1,0,0,0,1,5,Low
38,0,0,0,0,0,0,1,5,Low
39,0,0,0,0,0,0,1,4,Low
40,0,1,0,1,0,0,1,4,High
41,1,0,0,0,0,0,0,5,Low
42,1,1,0,0,0,0,0,4,Low
43,1,1,0,0,0,0,0,4,High
44,1,0,0,1,0,0,1,4,Low
45,0,1,0,0,0,0,0,4,Low
46,1,0,1,0,0,0,0,5,Low
47,1,1,1,0,0,0,0,2,High
48,1,1,1,0,0,0,1,5,Low
49,0,0,0,0,0,0,1,5,High
50,1,1,0,0,0,0,0,4,Low
51,0,1,0,0,0,0,0,4,Low
52,1,0,1,0,0,0,0,5,Low
53,1,1,0,0,0,0,1,4,Low
54,1,1,1,0,0,0,0,3,Low
55,0,0,0,0,0,0,0,4,Low
56,0,1,0,0,0,0,0,3,Low
57,1,1,1,0,0,0,0,2,Low
58,0,0,1,0,0,0,1,5,Low
59,1,1,1,0,0,1,1,5,Low
60,1,1,1,0,0,0,1,3,Low
61,0,0,0,0,0,0,0,5,Low
62,0,0,0,0,0,0,0,3,High
63,1,1,0,0,0,0,0,3,Low
64,1,1,0,0,0,0,0,5,High
65,0,1,0,0,0,0,1,5,High
66,0,1,0,0,0,0,1,4,Low
67,1,1,1,0,0,0,0,3,Low
68,1,1,1,0,0,0,1,2,Low
69,1,1,0,0,0,0,0,3,Low
70,1,1,1,0,0,0,1,5,Low
71,1,1,0,0,0,0,1,4,Low
72,0,0,0,0,0,0,0,4,High
73,0,1,1,0,0,0,0,4,Low
74,1,1,1,0,0,0,0,3,High
75,1,0,0,1,0,0,0,3,High
76,1,1,0,0,0,0,0,3,Low
77,1,1,0,0,0,0,0,4,Low
78,0,0,0,0,0,0,1,4,High
79,0,0,0,0,0,0,1,4,Low
80,0,0,1,0,0,0,0,5,Low
81,1,1,0,0,0,0,0,4,Low
82,1,0,1,1,0,0,1,4,Low
83,0,0,1,0,0,0,0,4,High
84,0,1,0,0,0,0,0,3,High
85,0,0,0,0,0,0,0,5,Low
86,0,0,0,0,0,0,0,5,Low
87,1,0,0,0,0,0,0,4,Low
88,1,1,1,0,0,0,0,3,Low
89,1,1,0,0,0,0,1,4,High
90,1,1,0,0,0,0,0,3,High
91,0,0,0,0,0,0,1,5,High
92,0,0,0,0,0,0,0,4,High
93,1,1,1,0,0,0,0,3,Low
94,0,0,0,0,0,0,0,4,Low
95,1,0,1,0,0,0,1,4,High
96,0,0,0,0,0,0,0,5,Low
97,1,1,0,0,0,0,0,2,Low
98,0,0,0,0,0,0,0,4,Low
99,1,1,0,0,0,0,1,4,Low
100,0,0,0,0,0,0,0,5,Low
101,1,1,1,0,0,0,0,3,Low
102,1,0,0,0,0,0,1,5,Low
103,0,1,0,0,0,0,1,5,Low
104,1,0,1,0,0,0,0,5,High
105,1,1,0,0,0,0,1,3,Low
106,1,1,1,0,0,0,1,5,Low
107,0,1,0,0,0,0,0,3,Low
108,0,1,0,0,0,0,0,4,Low
109,1,1,1,0,0,0,0,3,Low
110,0,1,1,0,0,0,1,4,Low
111,0,1,0,0,0,0,1,5,Low
112,0,1,0,0,0,0,1,4,Low
113,1,0,0,0,0,0,1,4,Low
114,1,1,0,0,0,1,0,3,High
115,0,0,0,0,0,0,0,4,High
116,1,0,0,0,0,1,0,4,Low
117,1,0,1,0,0,0,1,4,Low
118,0,1,1,0,0,0,0,4,Low
119,0,0,0,0,0,0,1,4,Low
120,0,0,1,0,0,0,0,4,Low
121,0,1,0,0,0,0,0,5,Low
122,1,0,1,0,0,0,0,5,Low
123,0,0,1,0,0,0,0,3,High
124,1,1,0,0,0,0,0,3,High
125,1,1,1,0,0,0,0,3,Low
126,1,0,0,0,0,0,0,4,High
127,1,0,0,0,0,0,1,4,Low
128,0,0,0,0,0,0,1,4,Low
129,0,1,0,0,0,0,0,4,Low
130,1,1,0,0,0,0,0,3,High
131,1,1,0,0,0,0,0,2,Low
132,0,0,0,0,0,0,0,3,Low
133,1,0,0,0,0,1,0,4,Low
134,1,0,0,0,0,0,0,5,Low
135,1,0,0,0,0,0,0,4,High
136,0,0,1,0,0,0,0,4,Low
137,1,1,0,0,0,0,0,3,Low
138,1,0,0,0,0,0,0,4,Low
