facilityId,biz_status,rating,price_level,total_user_ratings
FA0003323,OPERATIONAL,4.2,1.0,210.0
FA0000616,OPERATIONAL,4.3,3.0,446.0
FA0003472,OPERATIONAL,4.3,1.0,170.0
FA0002790,OPERATIONAL,4.0,1.0,164.0
FA0001363,OPERATIONAL,4.4,2.0,293.0
FA0000679,OPERATIONAL,4.0,1.0,574.0
FA0003541,OPERATIONAL,4.2,2.0,369.0
FA0000024,OPERATIONAL,3.5,2.0,143.0
FA0001380,OPERATIONAL,4.4,1.0,307.0
FA0001344,OPERATIONAL,3.4,1.0,289.0
FA0001169,OPERATIONAL,3.8,1.0,155.0
FA0001247,OPERATIONAL,4.8,1.0,379.0
FA0000018,OPERATIONAL,4.7,2.0,150.0
FA0002382,OPERATIONAL,4.5,2.0,1346.0
FA0001306,OPERATIONAL,4.3,1.0,557.0
FA0000200,OPERATIONAL,4.6,2.0,2995.0
FA0000966,OPERATIONAL,4.3,1.0,768.0
FA0001149,OPERATIONAL,4.2,2.0,608.0
FA0001299,OPERATIONAL,4.4,1.0,333.0
FA0000057,OPERATIONAL,4.4,1.0,2079.0
FA0000502,OPERATIONAL,4.6,2.0,1450.0
FA0004579,OPERATIONAL,4.9,2.0,232.0
FA0000287,OPERATIONAL,4.5,3.0,864.0
FA0004526,OPERATIONAL,4.0,2.0,518.0
FA0001273,CLOSED_TEMPORARILY,4.4,1.0,448.0
FA0000346,OPERATIONAL,4.3,1.0,499.0
FA0000665,OPERATIONAL,4.9,1.0,183.0
FA0000731,OPERATIONAL,4.4,1.0,1032.0
FA0002869,OPERATIONAL,3.6,1.0,340.0
FA0000476,OPERATIONAL,4.6,2.0,1392.0
FA0003850,OPERATIONAL,4.3,2.0,243.0
FA0000666,OPERATIONAL,4.6,3.0,644.0
FA0003410,OPERATIONAL,4.5,2.0,851.0
FA0000654,OPERATIONAL,4.1,2.0,621.0
FA0004497,OPERATIONAL,4.1,2.0,469.0
