facilityId,facilityName,siteAddress,streetNumber,streetDirection,streetName,streetType,streetUnit,city,state,zip,typeOfFacility,categoryOfFacility,inspectionType,inspectionDate,violationCode,violation,violationPoints,violationType,violationStatus,inspectionScore,location,concat_address,split_coords,google_coords
FA0003323,RUNZA,1743 MAIN ST,1743,,MAIN,ST,,LONGMONT,CO,80501,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,11/13/2013,01B,Wholesome Free of Spoilage,0,Critical,In,27,"1743 MAIN ST
LONGMONT, CO 80501
(40.189746, -105.102332)",1743 MAIN ST LONGMONT CO USA,"40.189746, -105.102332","40.1897717,-105.1026674"
FA0000616,FRANKS CHOP HOUSE,921 WALNUT ST,921,,WALNUT,ST,,BOULDER,CO,80302,RESTAURANT MORE THAN 200 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,4/11/2013,02E,Smoking Eating Drinking,0,Critical,In,20,"921 WALNUT ST
BOULDER, CO 80302
(40.016235, -105.282759)",921 WALNUT ST BOULDER CO USA,"40.016235, -105.282759","40.0165533,-105.2828453"
FA0004494,ROASTED TOAD BBQ THE,229 HWY 119,229,,HWY 119,,,NEDERLAND,CO,80466,RESTAURANT 0 TO 100 SEATS,FULL MENU LIMITED SERVICE,ROUTINE INSPECTION,5/29/2014,02C,Hands Washed As Needed,0,Critical,In,45,"229 HWY 119
NEDERLAND, CO 80466",229 HWY 119 NEDERLAND CO USA,,"39.9631805,-105.5095941"
FA0003893,FAIR ISLE COFFEE CO @ LGMT FARM MRKT,237 COLLYER ST,237,,COLLYER,ST,,Longmont,CO,80501,SPECIAL EVENT,SPECIAL EVENT,ROUTINE INSPECTION,4/26/2014,08B,Properly Labeled,0,Critical,In,5,"237 COLLYER ST
Longmont, CO 80501
(40.163078, -105.098175)",237 COLLYER ST Longmont CO USA,"40.163078, -105.098175","40.1630767,-105.0985565"
FA0003472,TODS ESPRESSO CAFE,6558 LOOKOUT RD,6558,,LOOKOUT,RD,,BOULDER,CO,80301,LIMITED FOOD SERVICE CONVENIENCE OTHER,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,6/20/2019,FC51,Plumbing installed; proper backflow devices,10,,Not Observed,10,"6558 LOOKOUT RD
BOULDER, CO 80301
(40.072805, -105.20104)",6558 LOOKOUT RD BOULDER CO USA,"40.072805, -105.20104","40.0721707,-105.2008731"
FA0003618,CARNICERIA EL CERRITO,936 MAIN ST,936,,MAIN,ST,,LONGMONT,CO,80501,GROCERY STORE 0 TO 15000 SQ FT,GROCERY FINISHED FOODS,ROUTINE INSPECTION,6/17/2019,FC42,Washing fruits & vegetables,15,,Not Observed,25,"936 MAIN ST
LONGMONT, CO 80501
(40.175326, -105.102459)",936 MAIN ST LONGMONT CO USA,"40.175326, -105.102459","40.1753769,-105.102119"
FA0002790,PALETERIA LA MICHOACANA,2130 N MAIN ST UNIT 1,2130,N,MAIN,ST,1,LONGMONT,CO,80501,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,6/19/2019,FC48,"Warewashing facilities: installed, maintained, & used; test strips",5,,Not Observed,45,"2130 N MAIN ST UNIT 1
LONGMONT, CO 80501
(40.196791, -105.102409)",2130 N MAIN ST UNIT 1 LONGMONT CO USA,"40.196791, -105.102409","40.196846,-105.1009613"
FA0001363,TIBETS RESTAURANT AND BAR,321 S MCCASLIN BLVD,321,S,MCCASLIN,BLVD,,LOUISVILLE,CO,80027,RESTAURANT 0 TO 100 SEATS,FULL SERVICE FULL MENU,ROUTINE INSPECTION,6/19/2019,FC20,Proper cooling time and temperature,20,Critical,Not Observed,65,"321 S MCCASLIN BLVD
LOUISVILLE, CO 80027
(39.96672, -105.16353)",321 S MCCASLIN BLVD LOUISVILLE CO USA,"39.96672, -105.16353","39.9666052,-105.1639878"
FA0000878,UTE CREEK GOLF COURSE,2000 UTE CREEK DR,2000,,UTE CREEK,DR,,LONGMONT,CO,805019103,RESTAURANT 0 TO 100 SEATS,FAST FOOD LIMITED MENU,ROUTINE INSPECTION,6/19/2019,FC52,Sewage & waste water properly disposed,20,,Not Observed,20,"2000 UTE CREEK DR
LONGMONT, CO 805019103
(40.195844, -105.067285)",2000 UTE CREEK DR LONGMONT CO USA,"40.195844, -105.067285","40.1892487,-105.0638812"
FA0004983,LEVY IPF 1 (MOBILE),2400 COLORADO AVE,2400,,COLORADO,AVE,,BOULDER,CO,80309,MOBILE UNIT FULL FOOD SERVICE,MOBILE UNITS,ROUTINE INSPECTION,3/6/2017,05D,Sewage Disposal,0,Critical,In,20,"2400 COLORADO AVE
BOULDER, CO 80309
(40.008231, -105.264147)",2400 COLORADO AVE BOULDER CO USA,"40.008231, -105.264147","40.0091912,-105.2669142"
